IDPIF,SUPQUEMADA,MUERTOS,HERIDOS,COMUNIDAD,PROVINCIA,COMARCA,MUNICIPIO,LATITUD,LONGITUD,FECHA,TIME_CTRL,TIME_EXT,IDGRUPOCAUSA,CAUSA,PERSONAL,PESADOS,AEREOS,GASTOS_EXT,PERDIDAS
2012390756,127.0,0,0,CANTABRIA,CANTABRIA,COMARCA 10,ARREDONDO,43.26925500,-3.63252000,2012-12-24,0,1982,4,Provocados por pastores y ganaderos para regenerar el pasto,0,0,0,0,79772
2002240113,127.0,0,0,CASTILLA Y LEON,LEON,PONFERRADA,PONFERRADA,42.49903600,-6.56292500,2002-03-26,1470,1500,4,Sin datos,17,0,1,0,17952
2007100156,127.0,0,0,EXTREMADURA,CACERES,CACERES-CENTRO,BROZAS,39.61306000,-6.79408000,2007-07-14,160,310,4,Provocados contra el acotamiento de la caza,56,3,2,0,0
2003240295,126.9,0,0,CASTILLA Y LEON,LEON,ASTORGA,MAGAZ DE CEPEDA,42.57011000,-6.10766300,2003-08-12,519,610,1,RAYO,31,5,9,0,320040
2011361614,126.7,0,0,GALICIA,PONTEVEDRA,O CONDADO-A PARANDATA,ARBO,42.14339400,-8.26880300,2011-10-12,1354,1618,4,Sin datos,79,8,8,307996,180124
2011321867,126.37,0,0,GALICIA,OURENSE,VERIN-VIANA,VIANA DO BOLO,42.08788400,-7.10305600,2011-10-02,747,6322,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,63,3,6,0,48144
2002322151,126.0,0,0,GALICIA,OURENSE,VERIN-VIANA,VERÍN,41.85908500,-7.41509700,2002-07-23,275,470,4,Sin datos,112,0,8,0,202700
2005323068,125.8,0,0,GALICIA,OURENSE,MIÑO-ARNOIA,MACEDA,42.24386600,-7.59614600,2005-08-20,700,800,4,Sin datos,64,8,5,0,0
2005323202,125.0,0,0,GALICIA,OURENSE,VERIN-VIANA,VERÍN,42.12635100,-7.94947700,2005-08-22,1125,1170,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,76,8,8,0,0
2006361514,125.0,0,0,GALICIA,PONTEVEDRA,CALDAS-O SALNES,CAMPO LAMEIRO,42.53699500,-8.54789300,2006-08-05,3480,3840,4,Provocados por pirómanos,19,4,0,31660,1279156
2001490413,125.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PÍAS,42.09788300,-6.97108200,2001-12-17,2700,2700,4,Provocados por pastores y ganaderos para regenerar el pasto,1,0,0,0,0
2003100640,125.0,0,0,EXTREMADURA,CACERES,HURDES,PINOFRANQUEADO,40.37723000,-6.34960600,2003-08-08,0,1650,1,RAYO,118,14,4,0,673088
2004490067,125.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PÍAS,42.12227600,-6.93057700,2004-02-14,0,750,4,Provocados por pastores y ganaderos para regenerar el pasto,0,0,0,0,0
2005322926,125.0,0,0,GALICIA,OURENSE,VERIN-VIANA,MONTERREI,42.36016500,-7.75727400,2005-08-17,1855,1880,4,Otras motivaciones,17,0,0,0,0
2004150779,125.0,0,0,GALICIA,A CORUÑA,BARBANZA,BOIRO,42.67390200,-8.91086000,2004-04-13,540,610,4,Sin datos,33,7,2,0,657116
2001190032,125.0,0,0,CASTILLA-MANCHA,GUADALAJARA,CAMPIÑA,GALÁPAGOS,40.71149800,-3.34903500,2001-06-29,255,345,3,TRABAJOS FORESTALES,121,6,2,0,8258
2011390028,125.0,0,0,CANTABRIA,CANTABRIA,COMARCA 9,SAN ROQUE DE RIOMIERA,43.22013000,-3.71720300,2011-01-16,0,1140,5,RAYO,0,0,0,0,77028
2006150841,125.0,0,0,GALICIA,A CORUÑA,FISTERRA,DUMBRÍA,42.93691800,-9.11435000,2006-07-12,870,2375,5,RAYO,53,10,5,0,336628
2007060044,125.0,0,0,EXTREMADURA,BADAJOZ,LA SERENA,MONTERRUBIO DE LA SERENA,38.64570500,-5.44648200,2007-07-03,290,570,4,Sin datos,43,8,3,0,0
2006270063,125.0,0,0,GALICIA,LUGO,FONSAGRADA-OS ANCARES,NEGUEIRA DE MUÑIZ,43.11374700,-6.87453400,2006-04-04,550,580,1,RAYO,44,6,3,0,0
2008270039,125.0,0,0,GALICIA,LUGO,FONSAGRADA-OS ANCARES,CERVANTES,42.76845000,-6.94896200,2008-02-16,946,1306,4,Provocados por pastores y ganaderos para regenerar el pasto,46,3,4,0,625856
2001100637,124.95,0,0,EXTREMADURA,CACERES,SIERRA DE GATA,CILLEROS,40.05486400,-5.38190400,2001-08-03,225,255,5,RAYO,73,9,5,0,253164
2013490064,124.8,0,0,CASTILLA Y LEON,ZAMORA,ALCAÑICES,TRABAZOS,41.70757600,-6.52701400,2013-06-28,1300,1780,4,"Provocados para ahuyentar animales (lobos, jabalíes)",35,12,4,0,0
2011322396,124.8,0,0,GALICIA,OURENSE,A LIMIA,CALVOS DE RANDÍN,41.96510400,-7.86385400,2011-10-17,3566,5333,4,Otras motivaciones,1,0,0,0,0
2004290151,124.78,0,0,ANDALUCIA,MALAGA,COSTA DEL SOL,BENAHAVÍS,36.50032700,-5.03021600,2004-08-21,3295,2630,2,FUMADORES,244,15,16,197782,73152
2013040079,124.65,0,0,ANDALUCIA,ALMERIA,LEVANTE ALMERIENSE,HUÉRCA-OVERA,37.38865300,-1.91754100,2013-07-09,655,2335,1,RAYO,166,14,3,0,0
2008390177,124.26,0,0,CANTABRIA,CANTABRIA,COMARCA 9,SANTA MARIA DE CAYÓN,43.30243500,-3.84842800,2008-02-17,285,315,4,Provocados por pastores y ganaderos para regenerar el pasto,0,1,0,1080,81052
2003270776,124.0,0,0,GALICIA,LUGO,FONSAGRADA-OS ANCARES,CERVANTES,42.83033700,-7.01308000,2003-08-14,1130,3380,6,RAYO,21,8,4,0,3930064
2012100487,124.0,0,0,EXTREMADURA,CACERES,SIERRA DE GATA,VALVERDE DEL FRESNO,40.25210000,-6.85086800,2012-03-27,2700,3840,2,QUEMA PARA REG. PASTOS (QUEMAS DE MATORRAL),110,9,3,0,0
2013320527,123.51,0,0,GALICIA,OURENSE,VALDEORRAS-TRIVES,"VEIGA, A",42.25884000,-6.97493600,2013-08-21,1179,1891,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,82,10,6,0,104112
2010240143,123.2,0,0,CASTILLA Y LEON,LEON,BENAVIDES DE ORBIGO,BENAVIDES,42.56139100,-5.92737900,2010-08-11,316,502,3,MOTORES Y MÁQUINAS (COSECHADORAS),45,4,3,0,0
2003240120,123.16,0,0,CASTILLA Y LEON,LEON,BENAVIDES DE ORBIGO,LLAMAS DE LA RIBERA,42.64116700,-5.86930600,2003-05-23,325,369,2,OTRAS NEGLIGENCIAS (SIN ESPECIFICAR),48,5,1,0,134096
2006240492,123.0,0,1,CASTILLA Y LEON,LEON,ASTORGA,BRAZUELO,42.48715900,-6.15834700,2006-09-20,204,1284,4,Sin datos,52,0,2,0,0
2010390081,123.0,0,0,CANTABRIA,CANTABRIA,COMARCA 9,MIERA,43.28749000,-3.71645300,2010-02-24,0,2280,4,Provocados por pastores y ganaderos para regenerar el pasto,0,0,0,0,105216
2003240245,123.0,0,1,CASTILLA Y LEON,LEON,PONFERRADA,PUENTE DE DOMINGO FLOREZ,42.42092600,-6.77768300,2003-08-06,1122,1197,4,Sin datos,49,5,3,0,94964
2003100695,123.0,0,0,EXTREMADURA,CACERES,HURDES,CASAR DE PALOMERO,40.29487300,-6.29401000,2003-08-05,1350,3270,4,Para obtener modificación en el uso del suelo,70,7,10,0,4896
2011060084,123.0,0,0,EXTREMADURA,BADAJOZ,TENTUDIA,USAGRE,38.46273500,-6.12717800,2011-07-16,245,1295,4,Sin datos,42,5,6,0,0
2010070069,122.8,0,0,ILLES BALEARS,ILLES BALEARS,MALLORCA,PETRA,39.69252100,3.18880000,2010-08-23,1308,2688,4,Provocados por cazadores para facilitar la caza,115,0,2,0,0
2011370179,122.6,0,0,CASTILLA Y LEON,SALAMANCA,GUIJUELO,TEJADO EL,40.46501700,-5.53570700,2011-08-20,125,1555,4,Provocados por pastores y ganaderos para regenerar el pasto,110,5,2,0,0
2013130188,122.5,0,0,CASTILLA-MANCHA,CIUDAD REAL,CAMPO DE CALATRAVA,CORRAL DE CALATRAVA,38.89801700,-4.07822000,2013-07-03,195,313,3,MOTORES Y MÁQUINAS (COSECHADORAS),59,5,7,0,0
2006390174,122.4,0,0,CANTABRIA,CANTABRIA,COMARCA 2,CABEZÓN DE LIÉBANA,43.13125500,-4.53897500,2006-08-31,5370,9090,3,TRABAJOS FORESTALES,119,8,4,31004,359032
2003190144,122.0,0,0,CASTILLA-MANCHA,GUADALAJARA,CAMPIÑA,OTRA PROVINCIA,NULL,NULL,2003-07-31,2855,3310,2,QUEMA DE BASURA,592,47,15,124904,57036
2002330340,122.0,0,0,ASTURIAS,ASTURIAS,NARCEA,CANGAS DEL NARCEA,43.10511800,-6.55073300,2002-01-29,0,1410,4,Provocados por pastores y ganaderos para regenerar el pasto,8,0,0,0,10948
2005240630,122.0,0,1,CASTILLA Y LEON,LEON,PONFERRADA,PONFERRADA,42.49903600,-6.56292500,2005-07-20,446,1333,2,FUMADORES,51,2,6,0,0
2009390199,122.0,0,0,CANTABRIA,CANTABRIA,COMARCA 10,SOBA,43.19793000,-3.54678200,2009-03-11,0,0,4,Provocados por pastores y ganaderos para regenerar el pasto,0,0,0,0,75180
2011330458,121.31,0,0,ASTURIAS,ASTURIAS,ORIENTE,CABRALES,43.34283500,-4.80205900,2011-03-23,1022,1058,4,Sin datos,14,0,1,0,0
2002100245,121.3,0,0,EXTREMADURA,CACERES,CACERES-CENTRO,ZARZA LA MAYOR,39.86123300,-6.80704100,2002-07-29,255,585,4,Sin datos,50,1,3,0,96000
2012160335,121.3,0,0,CASTILLA-MANCHA,CUENCA,MANCHUELA,ALARCÓN,39.53022600,-2.03881100,2012-06-28,837,2932,3,MOTORES Y MÁQUINAS (COSECHADORAS),86,8,8,0,0
2001361841,121.1,0,0,GALICIA,PONTEVEDRA,CALDAS-O SALNES,CAMPO LAMEIRO,42.56850700,-8.51501300,2001-09-16,770,945,4,Provocados por pastores y ganaderos para regenerar el pasto,73,9,4,79068,243408
2006152069,121.0,0,0,GALICIA,A CORUÑA,BERGANTIÑOS-MARIÑAS COR,ARANGA,43.21216900,-8.00058600,2006-08-12,1830,3220,4,Otras motivaciones,59,10,2,0,2358912
2002390041,121.0,0,0,CANTABRIA,CANTABRIA,COMARCA 7,PESQUERA,43.08900300,-4.06612600,2002-01-29,1275,1715,4,Provocados por pastores y ganaderos para regenerar el pasto,13,0,0,1940,4312
2010390434,121.0,0,0,CANTABRIA,CANTABRIA,COMARCA 10,SOBA,43.19793000,-3.54678200,2010-03-29,0,0,4,Provocados por pastores y ganaderos para regenerar el pasto,0,0,0,0,101428
2012331511,120.85,0,0,ASTURIAS,ASTURIAS,ORIENTE,PONGA,43.21639100,-5.09412600,2012-08-19,174,334,4,Provocados por pastores y ganaderos para regenerar el pasto,13,1,1,0,0
2011420049,120.6,0,0,CASTILLA Y LEON,SORIA,GOMARA,ALDEHUELA DE PERIAÑEZ,41.82703500,-2.31365800,2011-07-12,1010,1370,3,MOTORES Y MÁQUINAS (COSECHADORAS),198,22,7,0,0
2012490207,120.5,0,0,CASTILLA Y LEON,ZAMORA,PUEBLA DE SANABRIA,LUBIAN,42.05972600,-6.96052700,2012-02-26,1320,1470,4,Provocados por pastores y ganaderos para regenerar el pasto,10,0,0,0,0
2011390403,120.5,0,0,CANTABRIA,CANTABRIA,COMARCA 8,VEGA DE PAS,43.15120700,-3.76463200,2011-03-25,2340,2350,4,Provocados por pastores y ganaderos para regenerar el pasto,12,0,0,5628,81448
2004410043,120.21,0,0,ANDALUCIA,SEVILLA,SIERRA NORTE,"GARROBO, EL",37.63349100,-6.14083600,2004-07-24,178,248,2,FUMADORES,47,7,1,0,6199
2002310015,120.0,0,0,NAVARRA,NAVARRA,ZONA 1,BAZTAN,43.16029400,-1.50509400,2002-02-02,0,840,4,Sin datos,13,1,0,0,1444668
2005322604,120.0,0,0,GALICIA,OURENSE,VERIN-VIANA,VILARDEVÓS,42.42649700,-8.13601100,2005-08-04,635,725,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,67,7,2,0,0
2003321602,120.0,0,0,GALICIA,OURENSE,VERIN-VIANA,LAZA,42.07895500,-7.41496700,2003-08-19,795,1475,4,Sin datos,88,9,9,0,48768
2005324215,120.0,0,0,GALICIA,OURENSE,A LIMIA,VILAR DE BARRIO,42.44069000,-8.01427600,2005-10-09,550,670,4,Sin datos,24,2,0,0,0
2008320423,120.0,0,0,GALICIA,OURENSE,MIÑO-ARNOIA,VEREA,42.10356800,-8.09116100,2008-02-16,465,570,4,Sin datos,38,5,2,0,0
2001370076,120.0,0,0,CASTILLA Y LEON,SALAMANCA,VITIGUDINO,CABEZA DEL CABALLO,41.13761400,-6.55859400,2001-08-01,255,1545,2,OTRAS NEGLIGENCIAS (SIN ESPECIFICAR),196,11,5,0,0
2006151029,120.0,0,0,GALICIA,A CORUÑA,BARBANZA,BOIRO,42.67936900,-8.91224300,2006-07-18,1430,1490,4,Provocados por pastores y ganaderos para regenerar el pasto,26,3,0,0,153072
2002321532,120.0,0,0,GALICIA,OURENSE,MIÑO-ARNOIA,NOGUEIRA DE RAMUÍN,42.42786200,-7.73914900,2002-04-24,780,810,4,Sin datos,28,3,1,0,1455604
2001060055,120.0,0,0,EXTREMADURA,BADAJOZ,BADAJOZ-CENTRO,FUENTE DEL MAESTRE,38.50415100,-6.38296300,2001-06-29,115,160,5,RAYO,28,0,1,0,0
2002310049,120.0,0,0,NAVARRA,NAVARRA,ZONA 2,LUZAIDE/VALCARLOS,43.06685300,-1.31285000,2002-02-15,0,360,2,QUEMA PARA REG. PASTOS (SIN ESPECIFICAR),8,0,0,0,0
2004270766,120.0,0,0,GALICIA,LUGO,TERRA DE LEMOS,PANTÓN,42.53927500,-7.67868800,2004-08-01,1795,2790,4,Sin datos,50,6,4,1564,484784
2011490135,120.0,0,0,CASTILLA Y LEON,ZAMORA,PUEBLA DE SANABRIA,PEDRALBA DE LA PRADERIA,41.96718200,-6.73720300,2011-03-22,900,1500,4,Provocados por cazadores para facilitar la caza,13,1,2,0,0
2001490076,120.0,0,0,CASTILLA Y LEON,ZAMORA,BERMILLO DE SAYAGO,FERMOSELLE,41.31232200,-6.38563200,2001-06-25,420,450,3,QUEMA PARA REG. PASTOS (SIN ESPECIFICAR),37,2,2,0,0
2006390152,120.0,0,0,CANTABRIA,CANTABRIA,COMARCA 3,POLACIONES,43.09415100,-4.41368700,2006-09-20,970,1120,2,QUEMA PARA REG. PASTOS (QUEMAS DE MATORRAL),39,5,0,2009,25104
2005321729,120.0,0,0,GALICIA,OURENSE,MIÑO-ARNOIA,NOGUEIRA DE RAMUÍN,42.48171000,-8.21326500,2005-03-18,1260,1320,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,27,3,0,0,0
2004490038,120.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PÍAS,42.05981400,-6.97563100,2004-02-11,1320,1920,4,Provocados por pastores y ganaderos para regenerar el pasto,16,0,0,0,0
2009240424,120.0,0,0,CASTILLA Y LEON,LEON,TRUCHAS,ENCINEDO,42.24774900,-6.54752000,2009-04-27,467,467,2,QUEMA DE MATORRAL (SIN ESPECIFICAR),1,0,0,0,0
2002390218,120.0,0,0,CANTABRIA,CANTABRIA,COMARCA 8,VEGA DE PAS,43.15120700,-3.76463200,2002-01-30,0,599,4,Provocados por pastores y ganaderos para regenerar el pasto,5,0,0,0,27360
2004100626,120.0,0,0,EXTREMADURA,CACERES,CACERES-CENTRO,ZORITA,39.30208600,-5.70492200,2004-09-12,330,1350,4,Sin datos,94,9,1,0,0
2004100906,120.0,0,0,EXTREMADURA,CACERES,AMBROZ-JERTE Y TIETAR,TORNAVACAS,40.26481900,-5.68494200,2004-12-30,2750,2810,5,RAYO,16,1,1,0,0
2007390295,120.0,0,0,CANTABRIA,CANTABRIA,COMARCA 10,SOBA,43.19793000,-3.54678200,2007-12-25,90,590,4,Provocados por pastores y ganaderos para regenerar el pasto,1,0,0,0,93520
2008490091,120.0,0,0,CASTILLA Y LEON,ZAMORA,PUEBLA DE SANABRIA,LUBIAN,42.03407600,-6.86688800,2008-02-16,1260,1290,4,Provocados por cazadores para facilitar la caza,20,0,3,0,0
2001370183,120.0,0,0,CASTILLA Y LEON,SALAMANCA,VITIGUDINO,AHIGAL DE LOS ACEITEROS,40.87206900,-6.75876100,2001-10-02,675,1515,4,Sin datos,50,3,2,0,0
2001450010,120.0,0,0,CASTILLA-MANCHA,TOLEDO,TALAVERA,PEPINO,40.01744700,-4.78518000,2001-06-02,330,360,2,HOGUERAS,43,7,0,0,0
2012330949,120.0,0,0,ASTURIAS,ASTURIAS,OVIEDO,OVIEDO,43.36241100,-5.85306700,2012-03-28,1360,1375,5,RAYO,14,3,0,0,0
2001490229,120.0,0,0,CASTILLA Y LEON,ZAMORA,ALCAÑICES,VILLALCAMPO,41.52837300,-6.05449400,2001-09-08,285,525,2,OTRAS NEGLIGENCIAS (SIN ESPECIFICAR),47,3,3,0,0
2011240064,120.0,0,0,CASTILLA Y LEON,LEON,TRUCHAS,CASTRILLO DE CABRERA,42.37279900,-6.51968100,2011-02-10,2795,2855,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,2,0,0,0,0
2005322682,120.0,0,0,GALICIA,OURENSE,VERIN-VIANA,VIANA DO BOLO,42.30414300,-8.24184400,2005-08-06,735,2380,4,Provocados por pastores y ganaderos para regenerar el pasto,115,7,5,0,0
2004370189,120.0,0,0,CASTILLA Y LEON,SALAMANCA,VITIGUDINO,PEREÑA DE LA RIBERA,41.23234900,-6.52363800,2004-10-08,300,560,4,Sin datos,71,5,4,0,0
2006060197,120.0,0,1,EXTREMADURA,BADAJOZ,SIERRA DE SAN PEDRO,VILLAR DEL REY,39.13070500,-6.83793700,2006-07-11,250,355,3,TRABAJOS FORESTALES,46,10,5,0,0
2010390098,120.0,0,0,CANTABRIA,CANTABRIA,COMARCA 10,RUESGA,43.28750700,-3.56921600,2010-02-27,750,780,4,Provocados por pastores y ganaderos para regenerar el pasto,7,0,0,0,164964
